age,sex,sentence,url
16,male,帰りたいけど帰りたくないですぅぅう😭😭😭😭😭😭😭,https://twitter.com/Ayato_Dr111/status/1132086171184422913
16,female,いつもひまな時リア友に急に電話かけたり意味わからん写真送りつけたりして暇アピールするんだけど今日は誰からも返信こない構ってくれない,https://twitter.com/haruka___2002/status/1129771443590447105
17,female,今日会えなくて直接おめでとういえなくて悲し😢素敵な1年にしてね！！ ,https://twitter.com/osu_mei/status/1132289778324451329
18,female,嘘で歪む心臓とか9月3日の刻印とか逹瑯さんしか歌えないよね、、、ほんとMUCC尊い😔💕朝だから語彙力がない…,https://twitter.com/LIELIELIE_ysk/status/1131704485804253184
18,male,俺視点のファッションリーダーズ自由時間。踊りすぎてブレッブレwwwwwwww,https://twitter.com/00_sss_1105/status/1130862639679074304
19,female,2回もラウワンのローラースケートで同じ腰の部分打って激痛すぎるんだけど笑笑笑笑笑笑笑笑,https://twitter.com/smile0330_a/status/1081199306890129408
20,male,ピチピチの10代が終わり20歳になりました,https://twitter.com/zeroM78sao/status/1132303035223367680
20,male,この二日間ぐらい絶起したり出席し忘れたりする夢を見る...絶起したくねぇ...（＾ω＾）,https://twitter.com/chokomanzyu0024/status/1125412063495344128
20,female,今日携帯家に忘れて1日死んだ,https://twitter.com/kaeru_yuyu_/status/1131889294207987712
21,male,暑くて長袖きてられないよもう 涼しくて綺麗な場所教えてください🥺,https://twitter.com/taiga_yamazaki_/status/1129574583160397824
22,female,加藤ミリヤ好きすぎる～😉 6月アルバム出るらしいから 買おうかな,https://twitter.com/kotori0114/status/1131919640764997633
23,male,くしゃみと鼻水止まらないが花粉症ではない!!と信じてる,https://twitter.com/s_atuoy/status/1113831078228254720
24,female,普段使わない漢字だと思うから読めない子は読めないかもね...大人でも読めない人いると思うから最近の若い子はのくくりはいけない.... 若い子で漢字たくさん読める子いっぱいいるよー☺️,https://twitter.com/muchimuchiakari/status/1132155385891049472
25,male,やっぱ無失点試合で勝点1なり3なり稼げるのは大きい 守備は数字上は安定感あるけどお世辞にも危ないシーンが無いとは言い切れない。 でもそこを0で凌げてるのは染谷の気持ちだし上島のガッツなのは間違いない,https://twitter.com/yooooooo_k/status/1127574215706591232
26,female,まじついてない今日... 朝から人身事故で会社遅れかけるし 帰りはまた人身事故で遅延して更に架線火災起きてるし... 舞子駅から新大阪に来るまでに90分ぐらいかかってる,https://twitter.com/_yurimiku/status/1128266425431277568
27,male,まあお金使うのはよくわかりますwww リア友とパチンコなんて最高じゃないですか！そういうのやりたいですね,https://twitter.com/michi081502/status/957240794636697601
27,male,昨日の雨降りの中での田植えのお陰で疲労感がヤヴァイ,https://twitter.com/Fate67469428/status/1131084052570693633
28,female,彼氏よりも友達が欲しいかもしれないと思って女友達を作るアプリみたいなのを1ヶ月くらい使ってる。彼氏も友達もアプリで調達しようとする自分の姿に現代人の孤独が体現されてる気がするよ,https://twitter.com/heoi_bikuni/status/1098477033665875969
29,male,てかサザエって自転車乗ってるときあったっけ？,https://twitter.com/SHISHIOH_BLADE/status/604946529279836160
30,female,つい先日ついに今シーズン初のストッキングをはいたのですがその時は膝丈ワンピースだったので膝下のムダ毛処理だけしたのを忘れてて今日うっかりショートパンツをはいてしまいましたﾃﾍﾍﾟﾛ まぁそんなまじまじ人の太もも見てる人いないやろﾊﾅﾎｼﾞ,https://twitter.com/rinko021726/status/1118740082276483074
30,male,船橋の麺屋こころにて台湾まぜそばです。最後の追い飯は絶品です(^_^)。,https://twitter.com/ikkitousen1468/status/1081180292650549249
31,male,いつまで起きてるかって？寝るまでだよ。,https://twitter.com/penriku/status/1130465021652193280
