 age,sex,sentence
39,female,"RT @rii_327_: おじいちゃんが経営していた旅館が
コロナウイルスの影響で中国人観光客の予約が3ヶ月分キャンセルになってしまい、今月いっぱいで閉めることになりました。
だいすきなおじいちゃんが残してくれたこの旅館を最後まで一人でも多く人に来てもらいたいので少しでも気に…"
39,female,"@manabu93 落ち着いた？(゜Д゜)
大丈夫ー？？"
39,female,"@Pinakano おはようございます""(ﾉ*&gt;∀&lt;)ﾉ"
39,female,@drake_mo @Ozaki_Mayumi わー！尾崎魔弓さんだ！現役の時と変わってないのが凄いですね（*｀・ω・*）ゞ✨
39,female,@k93uu1 お誕生日おめでとうございます(∩´∀`∩)💕︎💕︎💕︎💕︎💕
39,female,RT @TMR15: なぁなぁ、で結局のとこライブとかイベントはやっていいの？あかんの？どっち？やっても怒られて、やめても怒られる... そろそろ政府でちゃんと決めて欲しい... ( ⌯᷄௰⌯᷅ ;)＜「自己責任」は無責任ッスよ...
39,female,@YnvPsziJ5s1Z2mD お誕生日おめでとうございます(∩´∀`∩)🎂🎉🎊٩(ˊᗜˋ*)و
39,female,@KXVK_1113 おめでとうございます⸜(* ॑꒳ ॑*  )⸝⋆*🎂🎉🎊٩(ˊᗜˋ*)و
39,female,"@tM9krWkxH32ne35 ほんまー？( ु ›ω‹ ) ु♡
ってほんまに少し休んでよ💦💦"
39,female,"@tM9krWkxH32ne35 さおりん、1人で抱えすぎ💦頑張り過ぎよー！
少し身体休めて🥺💦"
39,female,"@myupom24 おめでとうございます！
凄い二重ですね🤗✨✨"
39,female,"@93luvmai まぃまぃさん(∩´∀`∩)💕ほんまです！また会えたときはもっと交流しましょーね❤ 
写真今日中に送っておきます🥰(遅くてごめんなさい😅💦)"
39,female,"@93luvmai まいまいさん！声かけてくれてありがとうございます🙇‍♀️🥰
めっちゃ嬉しかったです！！

帰り気をつけて下さいね🙋‍♀️"
39,female,@custom0610 (°∀°)ﾋｨｨｨｨ
39,female,"@custom0610 えー！大丈夫？😭💦💦

次のシリーズはありませんように。🙇‍♀️🙇‍♀️🙇‍♀️"
39,female,@manabu93 ありがとう（*｀・ω・*）ゞ
