age,sex,sentence,url
16,female,待ちなうー。はやくしてえ(｀_´)♡明日だよ！テスト！（笑）,https://twitter.com/aaa1uvya/status/308072165037703168
16,female,だめだなーほんと。自分に笑っちゃう( ˆoˆ )あは,https://twitter.com/aaa1uvya/status/307838696407855104
16,female,やばい。前のTemple run並にハマった( ˆoˆ )食わず嫌いに相葉ちゃんだあー！多部ちゃんかわいい♡♡,https://twitter.com/aaa1uvya/status/307098570031517696
16,female,6時間さすがにつらかった(；＿；)下半身ほぼ痛いー。最近源氏パイとかホームパイはまってる♡♡ただのデブ（笑）,https://twitter.com/aaa1uvya/status/305643946158198784
17,female,"5.17 令和元年LJK最後の体育祭🔥
今までで1番楽しかった体育祭でした！
援団最高に楽しかった！😭😭
もらい泣きしました大好きです（ ;  ; ）
まほかや有難う🥺♥️
写真撮ってくれた人有難う〜！！
久々のTwitter投稿でした(笑)",https://twitter.com/1103Wakawaka/status/1129749142287335424
17,female,まってうけるやらかし〜,https://twitter.com/1103Wakawaka/status/1105445942021435392
17,female,バイトだから予定入れなかったのに！！！,https://twitter.com/1103Wakawaka/status/1094790637830889472
17,male,ＧＷの客って生殖機能だけ発達した猿しかいないね,https://twitter.com/bdhhvdjx/status/1124670259347087360
17,male,何年振りかにハンターハンターのアニメ見てる,https://twitter.com/fumibasket13/status/511915291723313153
17,male,ただてさえ疲れてるのに保谷駅から歩いて帰りとか鬼だわ…,https://twitter.com/fumibasket13/status/498830247064653824
17,male,明日ジム行こうか悩む(-_-;),https://twitter.com/fumibasket13/status/497747257676943362
17,male,"久しぶりに良いことがあった♪
最近やなこと続きだっただけにすげー嬉しい！",https://twitter.com/fumibasket13/status/483643827505209344
17,male,1日中眠くて何も手につかない(￣ー￣),https://twitter.com/fumibasket13/status/470141704800976896
18,female,I would like to congratulate you on your exciting news😍😍😍✨,https://twitter.com/miurariku1217/status/1121785322726014976
18,female,🤩🤩🤩,https://twitter.com/miurariku1217/status/1116103992621195264
18,female,世界選手権のスイハンのインタビューを見て、初めて中国語勉強しよって思った👩‍🎓,https://twitter.com/miurariku1217/status/1113448958976679936
18,male,"学校の自販機におつり忘れた…
もったいね～(;_;)",https://twitter.com/1130Thn/status/332804117762301952
20,male,洗濯機の裏に眼鏡落とした,https://twitter.com/univ_mtms/status/742130115497201664
20,male,"明けましておめでとうございます
目標なんて立ててもどうせ正月終わる頃には立てたことすら忘れてるから目標は立てない
適当にやっていくので皆様今年もどうぞよろしく",https://twitter.com/univ_mtms/status/682581387182915584
21,female,"21歳になりました。
20歳はすぐ終わってしまったね。
まぁ21歳になっても今まで通り生きてくのでよろしくお願いしますね。😈",https://twitter.com/mito_sinobu/status/1022305849774026752
21,female,"ぺろの家へ。
めっちゃご飯作ってくれた、姉。
実は年上なの忘れてたよね👶🏼",https://twitter.com/mito_sinobu/status/1127959837650743296
21,female,カムバックわし。,https://twitter.com/mito_sinobu/status/1109442071373373440
21,female,"日曜日は、旦那をバイクの後ろに乗っけてニケツしながら、サザンのコンサートにいってきました😏
がらくたツアーに続いて二回目の参戦🎉✨😆✨🎊

帰り道ずっと後ろでるんるん歌ってて楽しかった(笑)
買ってもらったステッカーバイクに貼らなくちゃ！",https://twitter.com/yururupoyoyo/status/1131223753159917568
22,female,"ODD SAFARI楽しかった〜〜デニムス兄さんありがとう！大阪ありがとう！みんなかっこよかったな〜〜
カメラフォルダ見たけど今日撮ったのアサノケンジだけだったわ",https://twitter.com/______mmk______/status/1132280789167534080
22,female,わたくし来週のタモリ倶楽部にでます,https://twitter.com/______mmk______/status/1132088265601761281
22,female,ありがとうございました！楽しかった〜〜〜〜〜,https://twitter.com/______mmk______/status/1130339697681547264
22,male,"明日は9時から映画なので7時に起きます
対戦よろしくお願いします
おやすみなさい",https://twitter.com/blonde_namazu/status/1132330617633247232
22,male,そういえば今日大学行く途中ですれ違った人が着てたTシャツを見て，camelケースの名前の由来がラクダであることに気づきました,https://twitter.com/blonde_namazu/status/1131949777313079296
